iter	Passed	Remaining
0	168	168486
1	197	98357
2	217	72276
3	237	59102
4	257	51228
5	276	45748
6	294	41742
7	315	39162
8	340	37527
9	363	36022
10	385	34640
11	418	34448
12	443	33636
13	463	32636
14	487	31998
15	508	31267
16	533	30874
17	560	30562
18	598	30923
19	625	30629
20	652	30400
21	682	30347
22	713	30323
23	741	30171
24	772	30132
25	803	30094
26	833	30034
27	858	29813
28	882	29538
29	905	29275
30	929	29064
31	964	29187
32	996	29193
33	1020	28985
34	1043	28771
35	1065	28535
36	1086	28274
37	1112	28168
38	1133	27942
39	1156	27750
40	1181	27646
41	1227	27997
42	1262	28096
43	1296	28159
44	1326	28157
45	1349	27989
46	1379	27966
47	1399	27764
48	1423	27634
49	1444	27443
50	1464	27242
51	1485	27081
52	1508	26951
53	1530	26806
54	1552	26669
55	1573	26522
56	1593	26370
57	1614	26224
58	1640	26168
59	1662	26045
60	1684	25925
61	1706	25810
62	1726	25679
63	1751	25614
64	1772	25499
65	1793	25385
66	1819	25335
67	1840	25226
68	1859	25095
69	1880	24982
70	1900	24861
71	1918	24725
72	1937	24601
73	1957	24499
74	1981	24441
75	2000	24324
76	2018	24194
77	2036	24071
78	2063	24051
79	2080	23930
80	2099	23819
81	2116	23699
82	2134	23584
83	2153	23480
84	2175	23416
85	2195	23333
86	2213	23226
87	2230	23120
88	2250	23031
89	2270	22960
90	2291	22886
91	2310	22800
92	2330	22727
93	2348	22639
94	2367	22551
95	2386	22474
96	2407	22408
97	2425	22320
98	2445	22258
99	2464	22178
100	2484	22116
101	2502	22031
102	2521	21956
103	2539	21877
104	2557	21803
105	2577	21736
106	2597	21676
107	2614	21597
108	2632	21519
109	2653	21469
110	2671	21395
111	2690	21334
112	2709	21270
113	2726	21193
114	2745	21125
115	2762	21051
116	2779	20977
117	2799	20925
118	2820	20879
119	2840	20830
120	2859	20771
121	2877	20707
122	2895	20648
123	2918	20615
124	2936	20558
125	2954	20495
126	2972	20432
127	2991	20380
128	3009	20319
129	3030	20281
130	3048	20221
131	3066	20164
132	3085	20113
133	3102	20052
134	3121	20003
135	3139	19945
136	3158	19893
137	3175	19836
138	3195	19791
139	3212	19736
140	3233	19698
141	3252	19654
